% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
55.2,3170.41,539.673,399.697,10.1589,1.6691,249.291,248.269,295.096,306.4,250.488,249.774,462.601,488.724,441.674,433.629,448.477,480.866,489.382,67.06,1.11
55.2,3365.65,573.517,399.023,10.086,1.70565,249.379,253.312,295.096,306.4,250.829,249.06,456.445,440.432,456.625,432.736,464.334,445.95,432.906,66.97,1.27
55.2,2693.75,592.133,409.204,9.9488,1.72472,248.302,251.906,295.096,306.4,252.081,249.236,459.248,480.114,453.814,433.885,438.642,421.974,408.193,66.75,1.36
55.2,2352.216,601.807,398.145,9.84375,1.75928,248.95,246.313,295.096,306.4,252.686,252.686,558.545,548.28,551.96,561.72,543.07,529.26,514.24,66.63,1.34
55.2,3313.96,626.099,399.785,9.7471,1.77,248.379,250.532,295.096,306.4,250.137,251.323,559.346,534.12,539.332,538.596,545.27,575.404,595.68,66.85,1.15
54.95,3446.19,624.023,400.781,10.0694,1.76633,250.62,253.037,295.096,306.4,250.093,250.181,539.326,546.13,550.556,550.232,543.402,583.58,559.484,65.76,2.76
54.95,3341.41,598.999,396.753,10.2101,1.76566,250.291,252.883,295.096,306.4,249.708,251.125,554.016,548.961,555.086,560.527,563.258,528.896,510.514,65.89,2.65
54.95,3386.13,590.363,395.068,10.104,1.76233,249.17,251.312,295.096,306.4,251.038,249.5,544.907,548.138,560.328,535.25,544.58,609.34,577.962,66.68,1.73
54.95,3140.82,596.313,402.129,9.94516,1.76,251.016,255.278,295.096,306.4,251.521,249.324,545.682,543.469,537.768,555.43,546.489,573.388,524.774,66.52,1.81
54.95,3586.72,586.426,401.484,10.2561,1.77,249.368,251.191,295.096,306.4,249.895,248.071,556.693,579.378,553.958,536.488,571.603,576.02,567.315,65.55,2.83
54.95,4297.66,564.575,397.559,10.064,1.7737,253.015,247.852,295.096,306.4,250.488,249.664,540.152,551.68,561.67,548.927,545.41,535.84,533.55,65.55,2.83
54.95,5071.09,555.206,404.268,10.1751,1.78,250.367,252.235,295.096,306.4,249.851,250.719,539.326,553.717,537.179,545.178,579.342,544.487,541.164,66.74,1.5
54.95,4148.14,536.316,398.247,10.4216,1.77771,251.06,249.961,295.096,306.4,249.543,247.786,539.426,551.99,574.137,544.569,582.73,539.536,547.206,66.26,1.94
54.95,4588.87,514.771,392.461,10.3162,1.78,248.643,252.334,295.096,306.4,250.488,250.4,565.352,532.648,555.092,568.126,572.15,533.514,563.566,67.6,1.09
55.99,5381.45,511.475,386.133,10.2279,1.78828,252.246,255.981,295.096,306.4,249.829,249.829,550.037,548.85,551.96,557.81,564.55,588.62,537.96,67.3,1.51
55.99,4969.53,572.449,399.595,10.4406,1.78373,249.741,246.423,295.096,306.4,249.642,250.389,555.167,544.854,541.952,531.448,540.154,578.176,553.356,66.3,1.96
55.99,5504.235999999996,535.553,397.676,10.2855,1.75575,252.235,249.598,295.096,306.4,249.906,251.4,559.771,538.144,552.23,541.228,547.838,533.877,536.31,66.21,3.57
55.99,5470.21,508.118,394.922,10.3883,1.75,247.742,250.488,295.096,306.4,249.719,250.049,552.539,557.345,549.26,541.21,541.69,546.34,524.17,67.24,1.12
55.99,4191.31,443.481,402.275,10.2905,1.74976,248.95,249.609,295.096,306.4,249.983,250.291,561.198,556.041,559.405,542.502,532.438,582.012,555.568,66.23,1.49
55.99,5504.235999999996,450.806,398.145,10.0112,1.70645,253.257,248.555,295.096,306.4,250.071,247.939,461.65,520.924,427.159,395.078,441.286,559.5,558.43,66.42,1.47
55.99,5048.83,427.307,397.588,10.1392,1.72378,248.467,250.785,295.096,306.4,250.247,248.719,539.276,574.312,545.301,440.447,569.618,457.598,466.598,67.16,1.16
55.99,2589.06,387.421,397.119,9.89791,1.68843,251.752,248.291,295.096,306.4,250.104,249.939,561.923,542.19,547.37,571.385,577.908,563.7,580.31,67.17,1.15
60.66,5401.56,340.698,408.574,10.2164,1.65959,248.423,252.466,295.096,306.4,249.521,250.093,545.232,556.44,542.358,203.945,459.348,546.732,453.326,67.44,1.17
60.66,3324.71,362.671,400.254,10.3356,1.74179,253.037,252.334,295.096,306.4,250.488,249.478,542.129,525.96,553.58,485.628,544.064,533.964,559.156,66.4,2.5
60.66,2950.39,340.607,397.383,10.1748,1.75619,250.269,245.533,295.096,306.4,249.049,254.377,554.366,547.346,556.603,634.828,549.928,572.044,597.798,65.12,4.14
60.66,3209.96,316.467,402.275,9.99504,1.74,252.642,247.72,295.096,306.4,245.896,250.291,556.493,530.607,538.579,490.309,537.01,542.252,492.61,64.26,3.34
60.66,2756.45,310.669,398.555,10.2002,1.76,251.653,251.191,295.096,306.4,253.213,249.609,558.945,559.328,541.983,479.18,550.838,547.124,544.363,64.08,4.08
60.66,1495.809333,372.925,394.336,9.65152,1.72069,251.807,249.609,295.096,306.4,247.742,251.367,534.271,557.63,541.98,568.945,580.8,595.62,590.66,63.53,5.36
59.89,2514.94,329.865,395.947,9.70634,1.64552,248.95,249.258,295.096,306.4,248.895,249.313,550.737,546.045,534.156,635.627,608.507,543.204,648.733,63.33,4.96
59.89,2684.96,420.197,401.719,10.1238,1.73,254.037,246.522,295.096,306.4,249.269,247.335,572.108,544.711,539.633,303.888,423.354,528.503,445.046,63.33,4.96
59.89,957.031,551.178,403.462,9.76635,1.75,252.642,244.259,295.096,306.4,250.269,249.357,518.531,562.328,547.317,508.518,540.512,548.384,523.007,65.15,2.97
59.89,1049.971496,569.702,402.07,9.33525,1.76,252.773,246.489,295.096,306.4,250.488,253.257,548.936,272.214,547.0,556.17,546.922,544.044,559.264,65.65,2.67
59.89,2455.76,556.763,406.113,9.44826,1.76,252.378,250.928,295.096,306.4,254.487,251.279,547.534,255.2211216,526.926,537.028,552.322,559.612,574.6,66.47,1.59
59.89,759.375,358.856,396.7093333,9.4727,1.75,251.169,248.665,295.096,306.4,248.093,247.698,558.094,708.7532969,547.397,574.354,590.578,575.236,576.175,66.21,1.52
59.89,3500.0,495.453,391.553,9.59082,1.73612,247.687,247.961,295.096,306.4,250.104,250.159,563.3,738.7148594,568.145,530.47,505.89,533.318,514.513,66.41,1.82
59.89,3323.63,307.068,390.1983279,9.59032,1.76,249.346,255.916,295.096,306.4,251.686,250.807,586.097,768.6764219,566.88,516.215,521.725,548.047,497.489,64.92,2.98
59.89,3542.09,450.562,385.72975,9.74492,1.7421,255.828,248.665,295.096,306.4,256.113,250.554,544.431,798.6379844,556.604,543.594,553.316,536.819,517.823,66.16,1.99
59.66,3752.44,546.875,416.367,9.73503,1.7501,247.632,245.215,295.096,306.4,251.147,247.192,582.068,828.5995469,568.69,549.22,532.05,565.66,523.62,65.58,2.36
59.66,3646.48,543.823,405.469,9.98442,1.74,247.632,250.488,295.096,306.4,254.224,250.928,444.434,437.27,462.93,480.47,438.97,450.29,401.68,66.21,1.83
59.66,3434.57,544.22,397.075,9.92103,1.74608,248.049,247.588,295.096,306.4,250.983,249.983,456.27,451.995,450.337,446.425,453.458,443.094,458.259,66.21,1.83
59.66,3444.92,563.354,399.844,9.97532,1.77,251.279,250.488,295.096,306.4,250.532,248.203,458.647,464.224,464.118,428.826,428.174,446.818,486.096,65.5,3.42
59.66,1425.130667,562.134,399.609,9.92849,1.77207,250.269,241.919,295.096,306.4,249.829,248.95,460.449,445.2,451.06,463.67,451.64,433.49,452.44,64.565,3.865
59.66,2923.83,553.589,396.211,9.8953,1.76007,251.235,249.697,295.096,306.4,249.829,250.181,550.337,546.244,566.746,564.69,575.128,511.218,491.392,64.565,3.865
59.66,3237.82,554.688,398.32,9.90914,1.75193,247.896,250.093,295.096,306.4,250.269,249.873,541.729,548.732,558.328,545.706,544.5,518.728,455.09,62.95,4.97
59.66,3605.66,530.182,396.357,9.7959,1.74394,251.686,253.334,295.096,306.4,249.928,249.95,448.488,447.096,469.518,440.995,435.582,455.638,382.173,62.83,5.06
58.84,307.031,542.053,401.016,9.88076,1.74205,248.818,252.334,295.096,306.4,250.247,249.829,434.023,440.042,438.011,463.319,462.824,443.402,433.133,64.29,3.62
58.84,3531.53,565.43,399.229,10.0612,1.75,250.17,255.146,295.096,306.4,250.994,251.389,448.438,229.0404906,448.693,534.435,443.547,449.814,456.466,63.62,4.92
58.84,3251.76,560.181,405.059,10.0036,1.76,249.521,252.07,295.096,306.4,251.235,248.225,450.189,453.461,455.005,531.245,533.596,499.234,514.958,65.87,2.13
58.84,3662.11,559.998,397.559,9.86401,1.77,250.708,251.807,295.096,306.4,249.5,246.204,456.195,439.245,446.75,341.795,376.46,450.01,443.06,65.16,2.77
58.84,2787.21,564.117,404.268,9.78996,1.76597,250.345,249.434,295.096,306.4,250.554,250.236,447.011,454.656,443.618,450.176,450.18,453.65,415.256,65.87,2.03
58.84,3277.05,524.902,411.167,9.75144,1.72201,252.927,248.588,295.096,306.4,250.302,250.291,448.838,460.686,450.656,376.715,443.57,420.404,504.995,65.92,2.12
58.82,3302.73,568.848,413.1925455,9.95299,1.75,251.367,253.125,295.096,306.4,250.488,247.412,460.95,458.79,442.97,164.4866027,423.0,437.41,429.27,65.9,2.4
58.82,2581.757353,515.259,404.004,9.80864,1.75,251.543,247.5,295.096,306.4,250.269,249.961,443.633,448.706,452.248,484.3,397.006,427.098,536.092,65.78,2.43
58.82,3929.69,516.602,407.52,9.83831,1.754,249.038,249.478,295.096,306.4,249.39,250.752,458.347,458.336,467.358,454.142,440.844,553.004,531.566,65.15,2.99
58.82,4209.67,465.881,396.577,9.60813,1.70398,252.125,249.642,295.096,306.4,250.269,249.873,455.995,449.273,446.798,472.249,411.129,565.548,514.32,62.95,5.04
58.82,4260.74,309.601,381.9393171,9.91458,1.68802,251.202,253.125,295.096,306.4,250.159,252.246,484.598,507.923,473.992,602.833,390.232,595.76,546.375,63.83,4.71
58.82,3498.73,304.626,399.5731707,9.86998,1.74995,252.004,255.817,295.096,306.4,250.038,249.412,548.36,823.946,551.365,506.268,429.362,548.271,558.521,63.83314917,4.704751381
58.82,2702.34,518.951,408.325,9.7337,1.7,247.599,254.443,295.096,306.4,249.73,249.17,470.059,241.1505714,458.617,415.18,340.962,634.408,537.935,64.4,3.76
58.82,4068.16,496.948,390.952,10.0853,1.7,249.247,251.906,295.096,306.4,250.488,249.39,509.072,371.505,507.882,465.389,504.792,451.102,467.01,64.1,3.55
58.82,3641.6,536.194,398.145,9.90167,1.72602,248.511,245.874,295.096,306.4,247.961,250.159,496.234,314.355,498.815,437.5,405.925,450.285,442.235,64.29,3.06
59.05,2946.88,537.537,401.602,9.74623,1.73804,251.982,252.51,295.096,306.4,249.983,250.203,503.691,505.8,495.041,446.597,461.169,450.346,457.85,66.55,1.44
